,Índice FipeZAP,Imóveis residenciais,Imóveis residenciais.1,Imóveis residenciais.2,Imóveis comerciais,Imóveis comerciais.1,Imóveis comerciais.2
0,,Venda,Locação,Rentabilidade do aluguel (rental yield),Venda,Locação,Rentabilidade do aluguel (rental yield)
1,,Número-Índice,Número-Índice,(% - mensalizada),Número-Índice,Número-Índice,(% - mensalizada)
2,Data,Total,Total,Total,Total,Total,Total
24,2009-10-01 00:00:00,55.83941967532714,88.05003294323355,0.005981315499353589,.,.,.
25,2009-11-01 00:00:00,56.958097801393464,88.92663703624814,0.005922841899774148,.,.,.
26,2009-12-01 00:00:00,58.075753360684054,89.8040762087147,0.0058606636377892575,.,.,.
27,2010-01-01 00:00:00,59.06370174432123,89.98496008446068,0.005661985967684355,.,.,.
28,2010-02-01 00:00:00,59.98932085012501,91.40133481557865,0.005644790304360585,.,.,.
29,2010-03-01 00:00:00,61.022838317375864,93.80700835376713,0.005684311551451895,.,.,.
30,2010-04-01 00:00:00,62.11594690207815,96.52912086332455,0.0057349253762898934,.,.,.
31,2010-05-01 00:00:00,63.229152524367905,98.12516149657118,0.0057280502920482885,.,.,.
32,2010-06-01 00:00:00,64.58830213672732,98.57272779616346,0.00563819433554923,.,.,.
33,2010-07-01 00:00:00,66.11145930697491,99.10213849104122,0.005535614435059989,.,.,.
34,2010-08-01 00:00:00,67.6177517458101,100,0.005455542037196589,.,.,.
35,2010-09-01 00:00:00,69.0281083071036,101.65240380582526,0.0054129013573077,.,.,.
36,2010-10-01 00:00:00,70.45179064190228,102.74568881723772,0.005334880686418609,.,.,.
37,2010-11-01 00:00:00,72.15332949773283,104.69580213490912,0.005289445807840359,.,.,.
38,2010-12-01 00:00:00,73.67573515926473,106.4754222049292,0.0052495612272810965,.,.,.
39,2011-01-01 00:00:00,74.99460567553986,108.88170407748659,0.005267291392217549,.,.,.
40,2011-02-01 00:00:00,76.53879595222509,110.53778592989917,0.005228500272459023,.,.,.
41,2011-03-01 00:00:00,78.37735380698903,112.20721879386599,0.005185947218457727,.,.,.
42,2011-04-01 00:00:00,80.48244990813554,114.48894722337646,0.005153488900599115,.,.,.
43,2011-05-01 00:00:00,82.54341892290805,116.83153859646227,0.005109533139053176,.,.,.
44,2011-06-01 00:00:00,84.46153721932977,118.82837586190116,0.005048320177165538,.,.,.
45,2011-07-01 00:00:00,86.22322857171964,119.60332174104701,0.00495788970021618,.,.,.
46,2011-08-01 00:00:00,87.72210469754425,120.47445818406717,0.004896751942962193,.,.,.
47,2011-09-01 00:00:00,89.35080014570002,121.1039786760126,0.004818130242072552,.,.,.
48,2011-10-01 00:00:00,90.76218026695766,122.2560698146297,0.0047693008262559,.,.,.
49,2011-11-01 00:00:00,92.06123911206664,123.17940149550303,0.004720723908374282,.,.,.
50,2011-12-01 00:00:00,93.06831013152457,124.8971952183897,0.004721637882317499,.,.,.
51,2012-01-01 00:00:00,94.12820412427153,126.21832918424734,0.004665030366780137,80.98857085628168,96.69583661187056,0.0057440804038969605
52,2012-02-01 00:00:00,95.49913989575398,127.82102628160835,0.004663278120603256,82.04246663907657,98.46205337987519,0.005768173879249309
53,2012-03-01 00:00:00,96.834951116299,129.37608308974748,0.004661250810372107,82.9483050563642,99.84088475533984,0.005792078109600458
54,2012-04-01 00:00:00,98.03927819219214,131.06088306863393,0.004665825438751121,83.90865248855842,101.9116032995007,0.005816073073489563
55,2012-05-01 00:00:00,98.96128005500495,132.4641136958568,0.004664848356940712,84.49262221363009,102.93454817479395,0.005825362391703009
56,2012-06-01 00:00:00,100,133.16738189399814,0.0046352516125438975,85.62967581003967,103.96456453661801,0.005804735670365662
57,2012-07-01 00:00:00,100.7349224657635,133.9601252990241,0.004606210676191039,86.88233663967061,104.90761598756956,0.00580125117270717
58,2012-08-01 00:00:00,101.66828305817032,134.7934021682039,0.004572849219290141,87.95025581121546,105.38159394904825,0.0057799413588824
59,2012-09-01 00:00:00,102.46781982396897,136.00593256946755,0.004550608381409572,88.73472823414588,106.01778856829361,0.005747560382649284
60,2012-10-01 00:00:00,103.19420280053673,136.51288236773007,0.004516247229012986,89.4056472184264,106.31293776316316,0.005709637001593857
61,2012-11-01 00:00:00,104.13642728320632,137.37913146351963,0.004493554872227734,90.54689085996489,106.82494378871401,0.0056567508423751136
62,2012-12-01 00:00:00,105.19345215787885,138.11141471191854,0.004474830001849132,91.79698264786258,107.7674218179962,0.005629546216010425
63,2013-01-01 00:00:00,106.18713648090106,139.9452276720781,0.004479984069857872,93.08766521449444,108.42850712605716,0.005568357031175563
64,2013-02-01 00:00:00,107.17218436448827,141.4484201849431,0.00448135776683148,94.18386978299901,109.27959488636736,0.005531978567119972
65,2013-03-01 00:00:00,108.09293604698776,142.98135303365845,0.004478221120769869,95.28664549585766,109.25450748728586,0.005491911034510052
66,2013-04-01 00:00:00,109.24961456242832,144.19544149530844,0.004461650953221955,96.47005686436958,109.5080224901487,0.005433508831443562
67,2013-05-01 00:00:00,110.35406574033819,144.84807567261728,0.004430354297708865,97.38233314897921,110.26157171995726,0.005405613876432401
68,2013-06-01 00:00:00,111.60809647247284,145.24964019639515,0.004388716869331372,97.93025479898986,111.15859258550587,0.005397417637540095
69,2013-07-01 00:00:00,112.82186646390015,145.7020927388531,0.004343759955240794,98.11465151838851,112.10267198009502,0.005407874800729557
70,2013-08-01 00:00:00,114.15182414245461,146.01884549117543,0.004304914330790689,98.2729065298227,111.27816312123944,0.005361889335780869
71,2013-09-01 00:00:00,115.52282730468015,146.24464843612162,0.004272190492301784,98.87849261278119,110.53678818300763,0.005282035410334804
72,2013-10-01 00:00:00,117.04164293388418,146.74423577375967,0.004244456353526558,99.40850232850704,110.71313738149915,0.005276401095466322
73,2013-11-01 00:00:00,118.50623279668984,147.63595908411094,0.004220348250352651,100.1578339945723,112.11270509572822,0.005292579667928196
74,2013-12-01 00:00:00,119.64499683669672,148.96604110050063,0.004206489032782776,100.39234182600917,113.30052709423427,0.005348612650983412
75,2014-01-01 00:00:00,120.56752291967673,149.86984694009377,0.004158305577730987,101.06655815267864,113.43464784776755,0.005347625110879002
76,2014-02-01 00:00:00,121.2489969131683,151.06697313093304,0.004165845889079452,101.4030838699847,113.29618600545749,0.00532972370017741
77,2014-03-01 00:00:00,122.02243753535399,152.1668852734367,0.004165079694083649,101.7431966902381,113.10690165727316,0.005319995335165693
78,2014-04-01 00:00:00,122.61537197010287,153.16386207272464,0.004170147776170223,102.12111949817516,112.20335582405795,0.00526993501339196
79,2014-05-01 00:00:00,123.2139568350727,154.11539576543979,0.004174162440668621,102.25567305816894,111.43832395562094,0.005224168369121305
80,2014-06-01 00:00:00,123.82640519092247,154.33104879122442,0.004157279300630393,102.66601989414436,111.54951987504636,0.005212464420904428
81,2014-07-01 00:00:00,124.56671635642505,154.41891766805782,0.004134903268859148,102.66677046826432,111.64996630796794,0.005240296271314981
82,2014-08-01 00:00:00,125.41191582719809,154.1093044113409,0.004098230356535284,102.39445262736652,111.18767733091066,0.005255260066228307
83,2014-09-01 00:00:00,126.10644750590032,154.00111792386866,0.004073787173366391,101.7550581726355,110.36406915619841,0.005247108439625212
84,2014-10-01 00:00:00,126.67566299400167,153.46129654454052,0.0040431524001924655,101.68039643625777,109.42467388746208,0.005197918215360278
85,2014-11-01 00:00:00,127.24089507567997,153.05625027496131,0.004028657304852557,101.91400799081882,110.18892787716476,0.00520996626209229
86,2014-12-01 00:00:00,127.66480457379386,153.18091489714305,0.004031020448799248,102.29389929355817,110.40604844069807,0.005201745570180594
87,2015-01-01 00:00:00,128.15648664778763,153.4314171280622,0.004038743747848211,102.72629198017839,110.93487890647462,0.005164033912009672
88,2015-02-01 00:00:00,128.36841666073127,154.0086413737115,0.004044471737004074,103.25973374614503,110.45329370218347,0.00511556724433115
89,2015-03-01 00:00:00,128.5440120754345,154.4900162017796,0.004046844984917962,103.51046177601681,109.36259082753656,0.005046263530868505
90,2015-04-01 00:00:00,129.0475551075526,154.74476293734233,0.004042271964717798,103.49694843441098,108.65842243375032,0.005014210294729035
91,2015-05-01 00:00:00,129.26025339987598,154.4654488546824,0.003983019604196758,103.0638328508994,108.48729701832764,0.005026308476647224
92,2015-06-01 00:00:00,129.4274737200547,153.44395463072837,0.003950178561014674,102.67259843008833,107.8370231498043,0.0050253036785050465
93,2015-07-01 00:00:00,129.58989016548844,152.41565688468705,0.003918631898852093,102.20341743478515,106.08709619970557,0.004962754140863559
94,2015-08-01 00:00:00,129.57770537597918,151.32418591791517,0.0038944326629745123,101.98755747530048,105.36169112456342,0.004937238482125819
95,2015-09-01 00:00:00,129.42393774523958,150.14220255254455,0.0038601030981696037,101.83554511332446,104.74766160450365,0.004920046294524262
96,2015-10-01 00:00:00,129.4101343836597,149.13947790193504,0.0038414397873807286,101.69546479745239,103.76680369504963,0.004887572322723031
97,2015-11-01 00:00:00,129.35003195244624,148.11957690525935,0.0038219276267980494,101.09670395366153,101.47695295420439,0.004805247149312471
98,2015-12-01 00:00:00,129.35590720977407,148.06061968019023,0.0038186377590742615,100.55346526270809,100,0.004753102115647943
99,2016-01-01 00:00:00,129.2482880561737,147.81889363325763,0.0037923450187032927,100,99.5871601992299,0.004668270861164376
100,2016-02-01 00:00:00,129.1892065190346,147.82188986429088,0.0037965336934177134,99.76269438560995,99.06134545990635,0.004661040465956697
